DATE,VALUE
2015-01-02,1172.000
2015-01-05,1200.000
2015-01-06,1210.250
2015-01-07,1210.500
2015-01-08,1215.500
2015-01-09,1217.750
2015-01-12,1226.500
2015-01-13,1231.500
2015-01-14,1235.000
2015-01-15,1259.000
2015-01-16,1277.500
2015-01-19,1273.750
2015-01-20,1288.750
2015-01-21,1293.500
2015-01-22,1295.750
2015-01-23,1294.750
2015-01-26,1281.250
2015-01-27,1288.500
2015-01-28,1288.000
2015-01-29,1268.750
2015-01-30,1260.250
2015-02-02,1272.500
2015-02-03,1264.250
2015-02-04,1268.500
2015-02-05,1259.250
2015-02-06,1241.000
2015-02-09,1238.500
2015-02-10,1234.500
2015-02-11,1223.750
2015-02-12,1222.500
2015-02-13,1232.500
2015-02-16,1229.250
2015-02-17,1209.500
2015-02-18,1206.000
2015-02-19,1209.500
2015-02-20,1208.250
2015-02-23,1204.500
2015-02-24,1192.500
2015-02-25,1204.750
2015-02-26,1208.250
2015-02-27,1214.000
2015-03-02,1212.500
2015-03-03,1212.750
2015-03-04,1199.500
2015-03-05,1202.000
2015-03-06,1175.750
2015-03-09,1168.500
2015-03-10,1162.000
2015-03-11,1150.000
2015-03-12,1152.250
2015-03-13,1152.000
2015-03-16,1150.750
2015-03-17,1150.750
2015-03-18,1147.250
2015-03-19,1166.000
2015-03-20,1183.100
2015-03-23,1186.250
2015-03-24,1191.500
2015-03-25,1195.600
2015-03-26,1203.150
2015-03-27,1195.750
2015-03-30,1185.500
2015-03-31,1187.000
2015-04-01,1197.000
2015-04-02,1198.500
2015-04-03,.
2015-04-06,.
2015-04-07,1211.000
2015-04-08,1207.250
2015-04-09,1194.800
2015-04-10,1207.350
2015-04-13,1198.900
2015-04-14,1194.750
2015-04-15,1192.900
2015-04-16,1204.350
2015-04-17,1203.350
2015-04-20,1196.500
2015-04-21,1195.300
2015-04-22,1189.250
2015-04-23,1185.750
2015-04-24,1183.000
2015-04-27,1200.000
2015-04-28,1209.000
2015-04-29,1209.000
2015-04-30,1180.250
2015-05-01,1175.950
2015-05-04,.
2015-05-05,1197.000
2015-05-06,1194.250
2015-05-07,1187.000
2015-05-08,1186.000
2015-05-11,1189.250
2015-05-12,1191.500
2015-05-13,1210.500
2015-05-14,1225.000
2015-05-15,1220.500
2015-05-18,1223.500
2015-05-19,1214.300
2015-05-20,1210.500
2015-05-21,1205.000
2015-05-22,1204.100
2015-05-25,.
2015-05-26,1185.400
2015-05-27,1185.850
2015-05-28,1185.000
2015-05-29,1191.400
2015-06-01,1199.900
2015-06-02,1192.800
2015-06-03,1190.000
2015-06-04,1176.000
2015-06-05,1164.600
2015-06-08,1172.800
2015-06-09,1177.400
2015-06-10,1188.500
2015-06-11,1178.500
2015-06-12,1182.800
2015-06-15,1181.400
2015-06-16,1177.750
2015-06-17,1178.000
2015-06-18,1201.850
2015-06-19,1203.400
2015-06-22,1185.500
2015-06-23,1178.000
2015-06-24,1173.750
2015-06-25,1172.650
2015-06-26,1170.500
2015-06-29,1176.000
2015-06-30,1171.000
2015-07-01,1168.000
2015-07-02,1165.250
2015-07-03,1167.950
2015-07-06,1166.000
2015-07-07,1156.250
2015-07-08,1158.500
2015-07-09,1164.250
2015-07-10,1159.300
2015-07-13,1154.000
2015-07-14,1157.400
2015-07-15,1147.400
2015-07-16,1144.400
2015-07-17,1132.800
2015-07-20,1104.600
2015-07-21,1105.600
2015-07-22,1088.600
2015-07-23,1097.400
2015-07-24,1080.800
2015-07-27,1100.000
2015-07-28,1096.200
2015-07-29,1090.250
2015-07-30,1087.500
2015-07-31,1098.400
2015-08-03,1091.900
2015-08-04,1090.650
2015-08-05,1085.100
2015-08-06,1089.750
2015-08-07,1093.500
2015-08-10,1097.000
2015-08-11,1108.250
2015-08-12,1119.000
2015-08-13,1116.750
2015-08-14,1118.250
2015-08-17,1118.800
2015-08-18,1111.450
2015-08-19,1126.150
2015-08-20,1147.700
2015-08-21,1156.500
2015-08-24,1166.500
2015-08-25,1137.500
2015-08-26,1120.750
2015-08-27,1119.000
2015-08-28,1135.000
2015-08-31,.
2015-09-01,1142.300
2015-09-02,1137.750
2015-09-03,1128.000
2015-09-04,1118.250
2015-09-07,1119.500
2015-09-08,1121.150
2015-09-09,1109.850
2015-09-10,1109.500
2015-09-11,1100.250
2015-09-14,1104.800
2015-09-15,1105.950
2015-09-16,1117.600
2015-09-17,1117.500
2015-09-18,1141.500
2015-09-21,1133.250
2015-09-22,1122.900
2015-09-23,1131.350
2015-09-24,1154.500
2015-09-25,1146.650
2015-09-28,1131.050
2015-09-29,1132.100
2015-09-30,1114.000
2015-10-01,1119.000
2015-10-02,1140.750
2015-10-05,1139.750
2015-10-06,1147.500
2015-10-07,1144.600
2015-10-08,1140.000
2015-10-09,1151.550
2015-10-12,1164.900
2015-10-13,1165.200
2015-10-14,1173.900
2015-10-15,1184.250
2015-10-16,1180.850
2015-10-19,1175.400
2015-10-20,1177.750
2015-10-21,1167.100
2015-10-22,1167.000
2015-10-23,1161.250
2015-10-26,1166.400
2015-10-27,1165.700
2015-10-28,1179.600
2015-10-29,1148.600
2015-10-30,1142.350
2015-11-02,1134.000
2015-11-03,1123.100
2015-11-04,1114.700
2015-11-05,1106.300
2015-11-06,1088.900
2015-11-09,1089.600
2015-11-10,1087.100
2015-11-11,1085.900
2015-11-12,1087.400
2015-11-13,1081.500
2015-11-16,1084.750
2015-11-17,1079.200
2015-11-18,1067.750
2015-11-19,1082.600
2015-11-20,1081.750
2015-11-23,1070.500
2015-11-24,1076.400
2015-11-25,1068.000
2015-11-26,1071.000
2015-11-27,1057.400
2015-11-30,1061.900
2015-12-01,1065.400
2015-12-02,1055.400
2015-12-03,1055.450
2015-12-04,1079.250
2015-12-07,1075.800
2015-12-08,1072.100
2015-12-09,1081.000
2015-12-10,1071.000
2015-12-11,1072.500
2015-12-14,1068.250
2015-12-15,1061.500
2015-12-16,1075.250
2015-12-17,1049.400
2015-12-18,1062.500
2015-12-21,1078.750
2015-12-22,1074.900
2015-12-23,1068.250
2015-12-24,.
2015-12-25,.
2015-12-28,.
2015-12-29,1070.100
2015-12-30,1060.000
2015-12-31,.
2016-01-01,.
2016-01-04,1082.250
2016-01-05,1077.000
2016-01-06,1091.400
2016-01-07,1106.350
2016-01-08,1101.850
2016-01-11,1100.750
2016-01-12,1085.400
2016-01-13,1088.150
2016-01-14,1088.400
2016-01-15,1093.750
2016-01-18,1089.200
2016-01-19,1086.250
2016-01-20,1101.750
2016-01-21,1096.500
2016-01-22,1096.250
2016-01-25,1106.600
2016-01-26,1113.600
2016-01-27,1116.250
2016-01-28,1114.000
2016-01-29,1111.800
2016-02-01,1126.500
2016-02-02,1128.500
2016-02-03,1132.000
2016-02-04,1156.350
2016-02-05,1150.350
2016-02-08,1193.250
2016-02-09,1191.000
2016-02-10,1190.000
2016-02-11,1241.000
2016-02-12,1239.750
2016-02-15,1208.200
2016-02-16,1209.500
2016-02-17,1210.000
2016-02-18,1210.100
2016-02-19,1231.150
2016-02-22,1211.000
2016-02-23,1221.350
2016-02-24,1250.750
2016-02-25,1236.000
2016-02-26,1226.500
2016-02-29,1234.900
2016-03-01,1236.500
2016-03-02,1239.200
2016-03-03,1250.250
2016-03-04,1277.500
2016-03-07,1267.900
2016-03-08,1267.000
2016-03-09,1246.400
2016-03-10,1266.500
2016-03-11,1264.750
2016-03-14,1242.750
2016-03-15,1232.000
2016-03-16,1228.500
2016-03-17,1266.500
2016-03-18,1252.100
2016-03-21,1244.900
2016-03-22,1252.500
2016-03-23,1217.600
2016-03-24,1221.000
2016-03-25,.
2016-03-28,.
2016-03-29,1226.000
2016-03-30,1236.250
2016-03-31,1237.000
